번호,문제,답
1,"CPU(중앙처리장치)의  그래픽  처리  작업을  돕기  위해  만들어진  장치로서  컴퓨터의  영상정보를  처리하거나  화면  출력을
담당하는  그래픽카드를  말한다.  연산속도를  비약적으로  높일  수  있기  때문에  최근   AI,  머신러닝  분야에서  보편적으로
사용되고  있는  장치는  무엇인가?.",GPU(그래픽처리장치)
2,"개방,  참여,  공유의  정신을  바탕으로  사용자가  직접  정보를  생산하여  쌍방향으로  소통하는  웹  기술은  무엇인가?",웹2.0
3,"기계가  인간과  얼마나  비슷하게  대화할  수  있는지를  기준으로  기계에  지능이  있는지는  판별하는  테스트로서,  1950년  앨
런  튜링이  제안한  이  테스트를  무엇이라고  하는가?",튜링  테스트
4,최근  유투브  등에서  뇌를  자극해  심리적  안정이나  쾌락을  유도하는  영상을  일컬어  무엇이라고  하는가?,ASMR  영상
5,"이것은  웹(web)과  카툰(cartoon,  만화)의  합성어로  인터넷  연재  만화를  지칭한다.  영어권에서는  웹코믹(Webcomic)이라
고  불리는  이것은  무엇인가?",웹툰(Webtoon)
6,"영향력을  주는  사람을  뜻하는  단어로,  최근에는  유투브,  페이스북,  인스타그램  등  소셜네트워크에서  많은  사람에게  영향
력을  미치는  사람을  나타낸다.  BTS와  같은  Kpop스타뿐  아니라  대도서관이나  이사배와  같은  유튜버들도  해당된다.  이들
을  뜻하는  단어는?",인플루언서
7,이세돌과  바둑대결을  벌인  인공지능의  이름은?,알파고
8,"직접  기기에  파일을  저장하지  않고.  인터넷에서  음성,  영상  콘텐츠를  실시간으로  재생하는  방식은?",스트리밍
9,"컴퓨터,  스마트폰  등을  이용해  인터넷  상에서  상품과  서비스를  교환하는  거래행위를  지칭하는  용어는?",전자상거래(e-commerce)
10,"2000년  카네기  멜론  대학의  루이스  폰  안  등에  의해  창안된  것으로,  컴퓨터에는  정자체만  저장되어  있어  변형된  글자를
읽지  못한다는  점을  이용하여  사람과  컴퓨터  프로그램을  판별해  주는  보안기술은?",캡챠(CAPTCHA)
11,전  세계  사람들이  함께  만들어가는  웹  기반의  다언어  백과사전?,위키피디아(위키백과)
12,"다수의  개체들이  서로  협력·경쟁을  통하여  얻게  된  지식  축적의  결과로  얻어진  집단적  능력을  일컫는  말로,  집단지능,  협
업지성,  공생적지능이라고도  하는  한다.  대표적인  사례로  위키피디아,  네이버  지식인  등이  있다.  무엇인가?",집단지성
13,"SNS  등에서  사용되는  기호로서,  관련된  내용물을  묶어주는  역할을  하여  사용자들이  관심  있는  주제의  내용물을  쉽게  찾
을  수  있도록  도와주는  것은?",해시태그(#)
14,컴퓨터  프로그램과  그와  관련된  문서들을  총칭하는  용어로  기계장치부를  말하는  하드웨어에  대응하는  개념은?,소프트웨어
15,"많은  데이터  가운데  숨겨져  있는  유용한  상관관계를  발견하여,  미래에  실행  가능한  정보를  추출해  내고  의사  결정에  이
용하는  과정을  무엇이라고  하는가?",데이터  마이닝
16,"사용자가  컴퓨터  시스템  또는  통신망에  접속할  때  사용자  ID와  함께  입력하여  정당한  사용자라는  것을  식별할  수  있도
록  컴퓨터에  전달하는  고유의  문자열로서,  일반적으로  7문자  이상의  영문자와  숫자의  조합으로  구성되어  지정된다.  이
것은  타인에게  알려지지  않도록  주의해서  관리해야  한다.  무엇인가?",패스워드(비밀번호)
17,컴퓨터  프로그래밍의  다른말로  프로그램을  작성하는  것을  의미하는  단어는?,코딩
18,"바코드보다  훨씬  많은  정보를  담을  수  있는  격자무늬의  2차원  코드로서,  스마트폰으로  이  코드를  스캔하면  각종  정보를
제공받을  수  있다.  무엇인가?",QR코드
19,"비슷한  관심사를  가진  사람들이  이벤트  일정을  잡을  수  있도록  도와주는  웹사이트로,  모임을  조직하려는  사람과  비슷한
생각을  가진  사람들끼리  시간과  장소를  정해  만난  후  모임을  지속할  수  있도록  온라인과  오프라인을  연결해주는  서비스
라고  볼  수  있다.  무엇인가?",밋업
20,"항상  원격으로  일하고  여행하는  사람을  말하며,  이들은  첨단  디지털  장비를  구비하고  여기저기  돌아다니면서  장소에  구
애받지  않고  일한다.  정보기술의  발달로  등장한  21세기형  신인류를  뜻하는  용어는?",디지털  노마드
21,"인터넷을  통해  방송  프로그램·영화·교육  등  각종  미디어  콘텐츠를  제공하는  서비스로서,  넷플릭스,  왓챠플레이,  옥수수가
대표적이다.  이  서비스는  무엇인가?",OTT서비스(온라인  유료  동영상  서비스)
22,마이크로소프트  윈도우  운영체제에서  시스템  오류를  복구하지  못할  때  나타나는  화면을  무엇이라고  하는가?,블루스크린
23,"시간과  장소에  얽매이지  않고  언제  어디서나  일할  수  있는  체제를  일컫는  말로,  유연근문제,  모바일오피스,  재택근무,  원
격회의  및  원격협업  등의  근무형태가  있다.  무엇인가?",스마트워크
24,"인터넷에서  음성,  영상  콘텐츠를  실시간으로  내려받아  재생하는  서비스로,  파일을  기기에  다  내려받지  않고도  컨텐츠를
재생할  수  있다.  대표적인  예로  유투브,  넷플릭스가  있다.  어떤  서비스인가?",스트리밍  서비스
25,"대용량의   데이터  속에서  지금까지  알지  못했던  규칙이나  패턴들을  찾아내어  새로운  가치를  추출하는  것을  의미하는  IT
용어는?",빅데이터
26,"1995년  이후에  태어나  2000년  초반  IT붐과  함께  유년  시절부터  디지털  환경에  노출에  세대로서,  이들은  신기술에  민감
할  뿐아니라  소비활동에도  적극활용한다.  스마트폰과  함께  자라난  세대로  디지털  디바이스는  이들에게  가장  친한  친구
이다.  Z세대라고도  불리우는  이들은  누구인가?",디지털네이티브(디지털원주민)
27,각종  사물에  센서와  통신  기능을  내장하여  인터넷에  연결하는  기술은?,IoT(사물인터넷)
28,"음성이나  문자를  통한  인간과의  대화를  통해서  특정한  작업을  수행하도록  제작된  컴퓨터  프로그램으로,  이것은  쇼핑몰
에서  물건을  구입하거나  호텔에  예약을  하는  등  사람이  하는  업무를  대신할  수도  있다.  무엇인가?",챗봇
29,"전화,  문자,  메신저,  가짜  사이트  등  통신수단을  이용하여  피해자를  기만하고  공갈함으로써  이용자의  개인정보나  금융정
보를  뺴낸  후  금품을  갈취하는  사기  수법은?",피싱
30,"네크워크  내의  모든  참여자가  공동으로  거래  정보를  검증/기록/보관함으로써  '공인된  제3자'없이도  거래  기록의  신뢰성
을  확보하는  기술로  가상화페인  비트코인에  적용된  보안기술은?",블록체인
31,"컴퓨터  시스템을  감염시켜  시스템을  잠그거나  데이터를  암호화해  사용할  수  없도록  하고  이를  인질로  금전을  요구하는
악성프로그램이며  신뢰할  수  없는  사이트,  스팸메일,  파일공유  사이트,  네트워크망을  통해  유포된다.  무엇인가?",렌섬웨어
32,"근거리에  있는  스마트  기기를  자동으로  인식하여  필요한  데이터를  전송할  수  있는  무선  통신  장치로서,  NFC가  10cm  이
내의  근거리에서만  작동하지만  이것은  최대  50m  거리에서  작동한다.  이  기술을  이용하면  쇼핑센터,  음식점,  박물관,  미
술관,  영화관,  야구장  등을  방문한  고객의  스마트폰에  할인  쿠폰이나  상세  설명  등의  데이터를  전송할  수  있다.  블루투스",비콘(beacon)
33,평면  디스플레이나  프로젝터  등에  의해  영상이나  정보를  표시하는  광고  매체로서  백화점이나  지하철  역사  안에서  흔히 보이는  광고  영상  디스플레이들입니다.  이를  무엇이라고  할까요?,디지털  사이니지
34,"사람이  타지  않고  무선  전파의  유도에  의해  비행하는  비행기나  헬리콥터  모양의  비행체인  무인항공기를  지칭하는  것으
로  이것은  작은  항공기가  벌처럼  웅웅거리는  소리를  내며  날아다니는  모습에서  이름이  붙여졌다고  한다.  무엇인가?",드론(drone)
